,ELLIP,PHIE,GAMMA,PHIG,ellipticity_true,e2_mass,e1_light,e2_light,gamma1,gamma2
1509,0.2543651,-4.857148,0.05294872,61.16752,0.2561249,0.024587258423712052,0.25245242705771787,-0.04321731681487956,-0.05202490920636891,0.009847627719784665
1510,0.06722223,-171.3284,0.06205029,-94.75407,0.061342355,-0.010367766151341907,0.05855350535806477,0.01828582859017078,0.03286639192189831,-0.05263115779764186
1511,0.4036486,169.8234,0.02568596,98.28646,0.39957044,0.08794526357431909,0.3746238171190118,-0.1389731347022681,-0.005690109910391921,0.025047778151549883
1512,0.3280802,20.13513,0.03207281,75.95025,0.3299107,-0.1268416188961287,0.251723167325669,0.21325223798596635,0.014432144686795788,0.028642247485759425
1513,0.2934405,22.07441,0.03770254,120.5889,0.28216848,-0.11976639503421983,0.20246521596859857,0.19653724183548296,-0.02822447116220756,0.02499721484616464
1516,0.461917,-107.3602,0.1111714,19.80829,0.49524888,-0.171053893872111,-0.4070655075384823,0.2820799987834873,-0.03777265345768501,0.1045576722614158
1518,0.5501166,-58.32067,0.02692735,115.3716,0.5358135,0.3391384688233527,-0.24026098127580459,-0.47892668296790225,-0.004392597908754513,-0.026566656952550605
1519,0.4038358,-166.2564,0.02453222,111.0447,0.39033672,-0.11677407112667341,0.3462731560173161,0.18016008548556436,-0.0139957000667823,0.020148205820098967
1520,0.2841007,14.12215,0.02373286,0.1762748,0.2842917,-0.0783528212473211,0.2504433108599659,0.1345359384491315,0.022273180137461223,0.008194759932042113
1522,0.1090353,-15.36889,0.1032105,-109.1779,0.10430259,0.029471204985598503,0.08964968655287747,-0.05331007392303005,0.0015595107049797279,0.10319871722367024
1523,0.1401615,49.48895,0.02211183,-73.10978,0.13393207,-0.07443889689031498,-0.020900566206277314,0.13229121553127365,-0.0029870282566173277,-0.021909146221226184
1524,0.3379932,124.2149,0.0680236,88.81951,0.390094,0.1891224518238123,-0.14341451650735063,-0.36277486860443187,-0.009427224941192278,0.06736718479250979
1526,0.3201791,134.8647,0.1105762,84.4574,0.30285332,0.19060099153587753,-0.0014303288030315705,-0.30284994237169277,0.08230976333661377,-0.07383900639845195
1527,0.724577,-88.88153,0.03113387,-113.3898,0.61382276,0.0221743892312756,-0.6133550019912856,-0.023958760950597815,0.025957905278410354,-0.017190259298043638
1528,0.4350738,149.466,0.08498763,-150.3596,0.40058687,0.24331766305288052,0.19379241463355526,-0.3505914152498503,0.05456190141424898,0.06516054148853181
1530,0.1994269,139.1102,0.02899429,-24.68789,0.18892857,0.10961946809623975,0.027013258531176032,-0.18698740178357673,0.018256057845493768,0.022525212641528725
1531,0.3297011,-174.2649,0.0385562,-100.3066,0.3218698,-0.03925272338784674,0.315441501635805,0.06400646215647635,0.03473909209658673,0.016726507069465085
1532,0.2610838,-72.45349,0.04783622,73.38131,0.27986616,0.08631728936691727,-0.22899202248648204,-0.16089661634321623,-0.030025547706574774,0.03723936665423571
1534,0.4231356,137.3083,0.05578328,132.6762,0.4241046,0.2674692759182034,0.03413520906228915,-0.4227286354665765,0.006244608837413391,0.0554326545280496
1535,0.3249686,-87.40687,0.04295386,72.56626,0.3615799,0.01753706374505884,-0.36009962964542125,-0.03268456536716443,0.034977731898554854,0.024931754052461272
1536,0.6595417,119.31,0.03394088,137.2021,0.5508577,0.42005951115727447,-0.2868380244547081,-0.47028518302856437,-0.015828241649250924,-0.030024158630464873
1537,0.5377928,56.79187,0.05745734,-23.73145,0.48216128,-0.3370755935093365,-0.19290740572724918,0.4418893897196683,-0.05418711472603908,0.019107655992891426
1539,0.3882158,-140.2042,0.06047344,78.12163,0.38083184,-0.23689753688768497,0.0688023531139829,0.3745652500750227,0.04052684959580911,-0.0448844227686206
1540,0.2366489,108.5154,0.08172386,28.41815,0.24835925,0.0808236316191854,-0.19826814031411713,-0.14957293069584507,0.07836650133225509,0.023183631342851792
1541,0.2066594,-77.29235,0.0545776,-161.274,0.22802061,0.0494570440438064,-0.2059529394940638,-0.09786105097804021,-0.027814302800609595,-0.046958268510199574
